effect_axis,low_label,high_label,metric,bootstrap_reps,seed_count,observed_delta,ci_low,ci_high,sign_stability
exogenous_arrival_rate,endogenous_control,exogenous_low,queue_depth_per_created_task,200,30,0.0925,0.070778,0.118748,1.0
exogenous_arrival_rate,endogenous_control,exogenous_low,baseline_transition_entropy,200,30,0.010217,-0.147662,0.135424,0.57
exogenous_arrival_rate,endogenous_control,exogenous_low,baseline_dwell_length_max,200,30,-0.033333,-0.3,0.3,0.555
exogenous_arrival_rate,endogenous_control,exogenous_low,baseline_backlog_growth_dwell_share,200,30,0.002778,-0.022222,0.025,0.55
exogenous_arrival_rate,endogenous_control,exogenous_low,queue_blind_transition_entropy,200,30,-0.003526,-0.140978,0.108989,0.51
exogenous_arrival_rate,endogenous_control,exogenous_low,queue_blind_dwell_length_max,200,30,0.033333,-0.1,0.2,0.64
exogenous_arrival_rate,endogenous_control,exogenous_low,queue_blind_task_generation_dwell_share,200,30,0.0,-0.016667,0.019445,0.0
exogenous_arrival_rate,endogenous_control,exogenous_low,queue_blind_execution_dwell_share,200,30,0.016667,-0.008333,0.044444,0.855
exogenous_arrival_rate,endogenous_control,exogenous_medium,queue_depth_per_created_task,200,30,0.174861,0.146534,0.205273,1.0
exogenous_arrival_rate,endogenous_control,exogenous_medium,baseline_transition_entropy,200,30,-0.022312,-0.1923,0.112162,0.62
exogenous_arrival_rate,endogenous_control,exogenous_medium,baseline_dwell_length_max,200,30,0.0,-0.333333,0.366667,0.0
exogenous_arrival_rate,endogenous_control,exogenous_medium,baseline_backlog_growth_dwell_share,200,30,0.0,-0.030556,0.030556,0.0
exogenous_arrival_rate,endogenous_control,exogenous_medium,queue_blind_transition_entropy,200,30,-0.049465,-0.218563,0.12322,0.775
exogenous_arrival_rate,endogenous_control,exogenous_medium,queue_blind_dwell_length_max,200,30,-0.133333,-0.566667,0.2,0.735
exogenous_arrival_rate,endogenous_control,exogenous_medium,queue_blind_task_generation_dwell_share,200,30,-0.002778,-0.033333,0.027778,0.495
exogenous_arrival_rate,endogenous_control,exogenous_medium,queue_blind_execution_dwell_share,200,30,0.044444,0.016667,0.080556,1.0
exogenous_arrival_rate,endogenous_control,exogenous_high,queue_depth_per_created_task,200,30,0.241756,0.209972,0.276361,1.0
exogenous_arrival_rate,endogenous_control,exogenous_high,baseline_transition_entropy,200,30,-0.024581,-0.155859,0.1141,0.665
exogenous_arrival_rate,endogenous_control,exogenous_high,baseline_dwell_length_max,200,30,0.0,-0.333333,0.366667,0.0
exogenous_arrival_rate,endogenous_control,exogenous_high,baseline_backlog_growth_dwell_share,200,30,0.0,-0.027778,0.027778,0.0
exogenous_arrival_rate,endogenous_control,exogenous_high,queue_blind_transition_entropy,200,30,-0.098668,-0.239733,0.029129,0.885
exogenous_arrival_rate,endogenous_control,exogenous_high,queue_blind_dwell_length_max,200,30,0.166667,-0.2,0.566667,0.775
exogenous_arrival_rate,endogenous_control,exogenous_high,queue_blind_task_generation_dwell_share,200,30,-0.002778,-0.036111,0.030556,0.575
exogenous_arrival_rate,endogenous_control,exogenous_high,queue_blind_execution_dwell_share,200,30,0.036111,0.008333,0.069445,0.995
