effect_axis,fixed_label,metric,bootstrap_reps,seed_count,observed_delta,ci_low,ci_high,sign_stability
service_capacity,normal_pressure,queue_depth_per_created_task,1000,30,-0.315145,-0.360349,-0.272657,1.0
service_capacity,normal_pressure,transition_entropy,1000,30,0.337663,0.135608,0.551771,1.0
service_capacity,normal_pressure,transition_entropy_normalized,1000,30,-0.016235,-0.030654,-0.001204,0.983
service_capacity,normal_pressure,dwell_length_max,1000,30,-1.533333,-2.2,-0.833333,1.0
service_capacity,normal_pressure,backlog_growth_dwell_share,1000,30,-0.322222,-0.375,-0.263889,1.0
service_capacity,high_pressure,queue_depth_per_created_task,1000,30,-0.168067,-0.197388,-0.140062,1.0
service_capacity,high_pressure,transition_entropy,1000,30,0.665825,0.393827,0.92576,1.0
service_capacity,high_pressure,transition_entropy_normalized,1000,30,0.338629,0.174678,0.512135,1.0
service_capacity,high_pressure,dwell_length_max,1000,30,-3.933333,-5.233333,-2.7,1.0
service_capacity,high_pressure,backlog_growth_dwell_share,1000,30,-0.213889,-0.261111,-0.166667,1.0
service_capacity,extreme_pressure,queue_depth_per_created_task,1000,30,-0.151264,-0.1767,-0.127744,1.0
service_capacity,extreme_pressure,transition_entropy,1000,30,0.800804,0.55598,1.066953,1.0
service_capacity,extreme_pressure,transition_entropy_normalized,1000,30,0.349498,0.183037,0.518888,1.0
service_capacity,extreme_pressure,dwell_length_max,1000,30,-3.833333,-4.733333,-2.866667,1.0
service_capacity,extreme_pressure,backlog_growth_dwell_share,1000,30,-0.15,-0.194444,-0.105555,1.0
task_creation_pressure,low_service,queue_depth_per_created_task,1000,30,0.20541,0.169372,0.242958,1.0
task_creation_pressure,low_service,transition_entropy,1000,30,-1.166135,-1.395874,-0.93273,1.0
task_creation_pressure,low_service,transition_entropy_normalized,1000,30,-0.436233,-0.612318,-0.243188,1.0
task_creation_pressure,low_service,dwell_length_max,1000,30,5.3,4.433333,6.233333,1.0
task_creation_pressure,low_service,backlog_growth_dwell_share,1000,30,0.255556,0.213889,0.3,1.0
task_creation_pressure,baseline_service,queue_depth_per_created_task,1000,30,0.298511,0.258377,0.345423,1.0
task_creation_pressure,baseline_service,transition_entropy,1000,30,-1.292787,-1.54357,-1.035164,1.0
task_creation_pressure,baseline_service,transition_entropy_normalized,1000,30,-0.235843,-0.40871,-0.078136,1.0
task_creation_pressure,baseline_service,dwell_length_max,1000,30,5.266667,4.366667,6.2,1.0
task_creation_pressure,baseline_service,backlog_growth_dwell_share,1000,30,0.375,0.327778,0.425,1.0
task_creation_pressure,high_service,queue_depth_per_created_task,1000,30,0.369291,0.317609,0.413523,1.0
task_creation_pressure,high_service,transition_entropy,1000,30,-0.702994,-0.929284,-0.470688,1.0
task_creation_pressure,high_service,transition_entropy_normalized,1000,30,-0.0705,-0.180654,0.017581,0.926
task_creation_pressure,high_service,dwell_length_max,1000,30,3.0,1.866667,4.133333,1.0
task_creation_pressure,high_service,backlog_growth_dwell_share,1000,30,0.427778,0.372222,0.486111,1.0
